id,youtube_id,title,comments,description,duration,event,film_date,languages,main_speaker,published_date,speaker_occupation,url,views
101,2FSE3TNFkJQ,The genesis of Google,56,"Google co-founders Larry Page and Sergey Brin offer a peek inside the Google machine, sharing tidbits about international search patterns, the philanthropic Google Foundation, and the company's dedication to innovation and employee happiness.",1233,TED2004,1075680000,31,Sergey Brin + Larry Page,1178214660,"Computer scientist, entrepreneur and philanthropist",https://www.ted.com/talks/sergey_brin_and_larry_page_on_google,1451846
102,5u9YWWcgheY,"\"Black Men Ski\"",72,What happens when a black man visits Aspen? Singer/songwriter Stew and his band are about to let you know.,277,TED2006,1141344000,22,Stew,1178545440,Singer/songwriter,https://www.ted.com/talks/stew_says_black_men_ski,577502
104,eXndL3TNCmo,Human-centered design,32,"IDEO's David Kelley says that product design has become much less about the hardware and more about the user experience. He shows video of this new, broader approach, including footage from the Prada store in New York.",1020,TED2002,1012608000,19,David Kelley,1179223200,"Designer, educator",https://www.ted.com/talks/david_kelley_on_human_centered_design,779873
106,G6CVj5IQkzk,How brain science will change computing,230,"Treo creator Jeff Hawkins urges us to take a new look at the brain -- to see it not as a fast processor, but as a memory system that stores and plays back experiences to help us predict, intelligently, what will happen next.",1211,TED2003,1044144000,29,Jeff Hawkins,1179760080,"Computer designer, brain researcher",https://www.ted.com/talks/jeff_hawkins_on_how_brain_science_will_change_computing,1371482
107,Vld1zXGtZGg,Swim with the giant sunfish,87,"Marine biologist Tierney Thys asks us to step into the water to visit the world of the Mola mola, or giant ocean sunfish. Basking, eating jellyfish and getting massages, this behemoth offers clues to life in the open sea.",1001,TED2003,1044144000,22,Tierney Thys,1179763140,Marine biologist,https://www.ted.com/talks/tierney_thys_swims_with_the_giant_sunfish,870412
109,nuXJFbJNltg,Salvation (and profit) in greentech,295,"\"I don't think we're going to make it,\" John Doerr says in an emotional talk about climate change and investment. To create a world fit for his daughter to live in, he says, we need to invest now in clean, green energy.",1072,TED2007,1172880000,20,John Doerr,1180266840,Venture capitalist,https://www.ted.com/talks/john_doerr_sees_salvation_and_profit_in_greentech,805111
110,-YpticqS9-8,Want to help Africa? Do business here,127,"We know the negative images of Africa -- famine and disease, conflict and corruption. But, says Ngozi Okonjo-Iweala, there's another, less-told story happening in many African nations: one of reform, economic growth and business opportunity.",1213,TED2007,1172880000,32,Ngozi Okonjo-Iweala,1180491120,Economist,https://www.ted.com/talks/ngozi_okonjo_iweala_on_doing_business_in_africa,1044185
111,Ntg1Gpgjk-A,Rethink the desktop with BumpTop,124,"Anand Agarawala presents BumpTop, a user interface that takes the usual desktop metaphor to a glorious, 3-D extreme, transforming file navigation into a freewheeling playground of crumpled documents and clipping-covered \"walls.\"",279,TED2007,1172880000,31,Anand Agarawala,1181044860,Interaction designer; software developer,https://www.ted.com/talks/anand_agarawala_demos_his_bumptop_desktop,1479503
113,i_C7jcJEo5U,A memorial at Ground Zero,14,"In this emotionally charged conversation with journalist Kurt Andersen, designer David Rockwell discusses the process of building a viewing platform at Ground Zero shortly after 9/11.",1477,TED2002,1012608000,18,David Rockwell,1181625060,"Architect, experience designer",https://www.ted.com/talks/david_rockwell_builds_at_ground_zero,404402
117,YpKbO6O3O3M,New insights on poverty,261,"Researcher Hans Rosling uses his cool data tools to show how countries are pulling themselves out of poverty. He demos Dollar Street, comparing households of varying income levels worldwide. Then he does something really amazing.",1137,TED2007,1172880000,35,Hans Rosling,1182762720,Global health expert; data visionary,https://www.ted.com/talks/hans_rosling_reveals_new_insights_on_poverty,3243784
119,KzGjEkp772s,Dangerous memes,392,"Starting with the simple tale of an ant, philosopher Dan Dennett unleashes a devastating salvo of ideas, making a powerful case for the existence of memes -- concepts that are literally alive.",926,TED2002,1012608000,32,Dan Dennett,1183412700,"Philosopher, cognitive scientist",https://www.ted.com/talks/dan_dennett_on_dangerous_memes,1596067
120,tijEl8I38mo,The potential of regenerative medicine,150,"Alan Russell studies regenerative medicine -- a breakthrough way of thinking about disease and injury, using a process that can signal the body to rebuild itself.",1165,TED2006,1138838400,33,Alan Russell,1183545900,Medical futurist,https://www.ted.com/talks/alan_russell_on_regenerating_our_bodies,1427723
121,zAvNlh2Z0GI,The Web's secret stories,145,"Jonathan Harris wants to make sense of the emotional world of the Web. With deep compassion for the human condition, his projects troll the Internet to find out what we're all feeling and looking for.",1030,TED2007,1172880000,23,Jonathan Harris,1183925640,"Artist, storyteller, Internet anthropologist",https://www.ted.com/talks/jonathan_harris_tells_the_web_s_secret_stories,1049727
123,e3NA-aKpgFk,"Spore, birth of a game",126,"In a friendly, high-speed presentation, Will Wright demos his newest game, Spore, which promises to dazzle users even more than his previous masterpieces.",997,TED2007,1172880000,19,Will Wright,1184667720,Game designer,https://www.ted.com/talks/will_wright_makes_toys_that_make_worlds,1107307
124,ORYKKNoRcDc,The  4 a.m. mystery,276,"Poet Rives does 8 minutes of lyrical origami, folding history into a series of coincidences surrounding that most surreal of hours, 4 o'clock in the morning.",552,TED2007,1172880000,34,Rives,1184683440,"Performance poet, multimedia artist",https://www.ted.com/talks/rives_on_4_a_m,3387765
125,Id2rZS59xSE,Visualizing the wonder of a living cell,231,Medical animator David Bolinsky presents 3 minutes of stunning animation that show the bustling life inside a cell.,585,TED2007,1172880000,27,David Bolinsky,1185093060,Medical animator,https://www.ted.com/talks/david_bolinsky_animates_a_cell,1788182
